date_time,minute,open,high,low,close,volume
2000.11.12,00:00,1.42630,1.44330,1.41980,1.42330,1076
2000.11.19,00:00,1.42220,1.43010,1.39580,1.40010,1174
2000.11.26,00:00,1.40040,1.44540,1.39970,1.44240,1147
2000.12.03,00:00,1.43940,1.45650,1.42940,1.45170,1173
2000.12.10,00:00,1.44610,1.47900,1.44260,1.47630,1101
2000.12.17,00:00,1.47330,1.48470,1.46040,1.47700,1385
2000.12.24,00:00,1.47100,1.49880,1.47100,1.49350,928
2000.12.31,00:00,1.49590,1.51020,1.48790,1.50460,1106
2001.01.07,00:00,1.50340,1.51090,1.47540,1.47800,1268
2001.01.14,00:00,1.47820,1.48100,1.46200,1.46310,1003
2001.01.21,00:00,1.46350,1.47490,1.44580,1.46220,1335
2001.01.28,00:00,1.46150,1.48430,1.45500,1.46950,1012
2001.02.04,00:00,1.46880,1.47870,1.43690,1.44510,1127
2001.02.11,00:00,1.44460,1.46180,1.44350,1.44880,1103
2001.02.18,00:00,1.44720,1.45620,1.43110,1.45550,1230
2001.02.25,00:00,1.45330,1.47710,1.43870,1.46810,1186
2001.03.04,00:00,1.46940,1.47570,1.45720,1.47020,950
2001.03.11,00:00,1.46630,1.47040,1.42480,1.43310,1180
2001.03.18,00:00,1.43110,1.43980,1.41740,1.42570,1051
2001.03.25,00:00,1.42750,1.44320,1.41470,1.41960,1058
2001.04.01,00:00,1.41430,1.44230,1.41360,1.43980,44150
2001.04.08,00:00,1.44040,1.45120,1.42700,1.43610,51043
2001.04.15,00:00,1.43620,1.44980,1.41860,1.44130,58071
2001.04.22,00:00,1.44210,1.44860,1.43120,1.43840,67403
2001.04.29,00:00,1.43510,1.44580,1.42630,1.43930,61580
2001.05.06,00:00,1.43770,1.44250,1.41310,1.41900,65269
2001.05.13,00:00,1.41940,1.44140,1.41540,1.43950,70440
2001.05.20,00:00,1.43940,1.44270,1.40700,1.42280,73961
2001.05.27,00:00,1.42220,1.42870,1.41150,1.41850,58659
2001.06.03,00:00,1.41880,1.42250,1.37710,1.37850,64547
2001.06.10,00:00,1.38240,1.41190,1.36810,1.40320,67842
2001.06.17,00:00,1.40430,1.42040,1.39040,1.41330,73711
2001.06.24,00:00,1.41230,1.42340,1.40290,1.41620,67661
2001.07.01,00:00,1.41620,1.41890,1.39620,1.41200,53834
2001.07.08,00:00,1.41080,1.41980,1.39770,1.40450,51895
2001.07.15,00:00,1.40320,1.43610,1.39310,1.42800,43879
2001.07.22,00:00,1.42400,1.43240,1.41540,1.42370,47724
2001.07.29,00:00,1.42270,1.43660,1.42050,1.42930,43330
2001.08.05,00:00,1.42830,1.42920,1.41220,1.42320,49457
2001.08.12,00:00,1.42360,1.45250,1.41620,1.44510,51101
2001.08.19,00:00,1.44510,1.45940,1.44050,1.44280,51252
2001.08.26,00:00,1.44330,1.46290,1.43700,1.45420,43336
2001.09.02,00:00,1.45270,1.46400,1.44040,1.46100,45864
2001.09.09,00:00,1.46100,1.47940,1.45300,1.47220,41136
2001.09.16,00:00,1.47410,1.47870,1.45130,1.45670,59398
2001.09.23,00:00,1.45560,1.47780,1.45270,1.47440,56413
2001.09.30,00:00,1.47250,1.48480,1.46170,1.48420,56241
2001.10.07,00:00,1.48320,1.48370,1.43980,1.45190,44440
2001.10.14,00:00,1.45200,1.45460,1.43220,1.43320,50752
2001.10.21,00:00,1.43410,1.43790,1.41940,1.43650,48122
2001.10.28,00:00,1.43630,1.46870,1.43600,1.46270,45231
2001.11.04,00:00,1.46170,1.46780,1.44740,1.45810,42899
2001.11.11,00:00,1.45650,1.46240,1.42620,1.42740,43572
2001.11.18,00:00,1.42790,1.42880,1.40390,1.40950,100273
2001.11.25,00:00,1.41060,1.43020,1.40600,1.42390,111063
2001.12.02,00:00,1.42340,1.43410,1.41370,1.43360,104935
2001.12.09,00:00,1.43270,1.45720,1.42690,1.45280,94860
2001.12.16,00:00,1.45390,1.46140,1.43430,1.44020,93388
2001.12.23,00:00,1.44070,1.45580,1.43240,1.45060,49550
2001.12.30,00:00,1.44990,1.45660,1.43600,1.44610,60250
2002.01.06,00:00,1.44740,1.45000,1.43370,1.44840,95046
2002.01.13,00:00,1.44990,1.45310,1.42970,1.43800,85670
2002.01.20,00:00,1.43730,1.44260,1.40600,1.40900,48396
2002.01.27,00:00,1.40850,1.41880,1.40410,1.41730,40027
2002.02.03,00:00,1.41440,1.42500,1.40660,1.41490,61205
2002.02.10,00:00,1.41320,1.43630,1.41300,1.43160,56841
2002.02.17,00:00,1.43200,1.43470,1.42220,1.43270,48543
2002.02.24,00:00,1.43180,1.43310,1.41070,1.41870,76778
2002.03.03,00:00,1.41900,1.43140,1.41550,1.42270,65965
2002.03.10,00:00,1.42130,1.42740,1.40870,1.42440,75620
2002.03.17,00:00,1.42330,1.43290,1.41930,1.42580,74745
2002.03.24,00:00,1.42480,1.42900,1.42120,1.42590,69777
2002.03.31,00:00,1.42540,1.44330,1.42470,1.43340,75237
2002.04.07,00:00,1.43070,1.44070,1.42870,1.43610,75164
2002.04.14,00:00,1.43630,1.45020,1.43410,1.44760,71243
2002.04.21,00:00,1.44670,1.45850,1.44530,1.45830,65415
2002.04.28,00:00,1.45740,1.47050,1.45470,1.46920,72609
2002.05.05,00:00,1.46810,1.47000,1.45310,1.46400,62225
