date_time,minute,open,high,low,close,volume
2000.09.10,0:00,106.1,107.78,105.8,107.15,603
2000.09.17,0:00,107.11,108.2,106.29,108,682
2000.09.24,0:00,107.95,108.57,107.15,108.13,665
2000.10.01,0:00,108.13,109.68,108.05,108.9,605
2000.10.08,0:00,108.87,109.2,107.3,107.92,712
2000.10.15,0:00,107.67,109.23,107.39,109,705
2000.10.22,0:00,108.94,109.12,107.58,108.65,615
2000.10.29,0:00,108.64,109.37,106.81,107.13,665
2000.11.05,0:00,107.19,108.03,106.85,107.95,661
2000.11.12,0:00,107.86,109.19,107.35,108.88,587
2000.11.19,0:00,108.85,111.49,108.8,111.32,773
2000.11.26,0:00,111.18,112.05,109.77,111.33,990
2000.12.03,0:00,111.36,111.51,110.12,110.98,840
2000.12.10,0:00,111.39,112.9,110.5,112.57,821
2000.12.17,0:00,112.51,113.21,111.75,112.95,773
2000.12.24,0:00,112.9,115.13,112.7,114.46,653
2000.12.31,0:00,114.44,116.94,113.5,116.55,841
2001.01.07,0:00,116.56,118.5,115.6,118.42,978
2001.01.14,0:00,118.4,119.91,116.88,117.23,1416
2001.01.21,0:00,117.05,118.54,116.14,117.4,1109
2001.01.28,0:00,117.47,117.78,114.88,115.75,1055
2001.02.04,0:00,115.66,117.8,114.28,117.58,987
2001.02.11,0:00,117.61,118.03,114.5,115.8,884
2001.02.18,0:00,115.99,117.21,115.18,115.85,1020
2001.02.25,0:00,115.86,119.39,115.75,119.02,893
2001.03.04,0:00,119.14,120.47,118.2,119.57,1045
2001.03.11,0:00,119.59,123.24,119.27,123.06,1068
2001.03.18,0:00,122.96,124.42,121.96,122.82,1197
2001.03.25,0:00,123.01,126.37,121.37,126.33,1393
2001.04.01,0:00,126.7,126.85,123.5,123.77,47421
2001.04.08,0:00,124.24,125.52,122.93,124.14,46429
2001.04.15,0:00,124.16,125,120.88,122.38,51483
2001.04.22,0:00,121.92,124.39,121.08,124.05,55057
2001.04.29,0:00,124.05,124.25,120.59,121.33,52138
2001.05.06,0:00,121.32,122.89,120.78,122.38,51844
2001.05.13,0:00,122.5,124.11,122.41,123.53,54626
2001.05.20,0:00,123.68,123.79,118.89,120.65,61948
2001.05.27,0:00,120.49,121.43,118.29,119.27,49217
2001.06.03,0:00,119.13,121.02,118.69,120.87,43723
2001.06.10,0:00,120.91,123.28,120.83,122.94,45474
2001.06.17,0:00,123.06,124.77,122.53,124.48,52440
2001.06.24,0:00,124.3,125.04,123.27,124.62,48848
2001.07.01,0:00,124.75,126.17,123.65,125.88,65790
2001.07.08,0:00,125.82,126,123.47,124.94,59003
2001.07.15,0:00,124.73,125.7,122.68,123.02,35103
2001.07.22,0:00,123.08,124.53,123.06,123.51,38306
2001.07.29,0:00,123.27,125.41,123.21,123.66,24916
2001.08.05,0:00,123.7,124.33,121.38,122,30343
2001.08.12,0:00,121.95,123.21,119.07,120.24,28525
2001.08.19,0:00,120.31,120.98,119.33,120.02,23779
2001.08.26,0:00,120.19,120.86,118.45,118.8,56091
2001.09.02,0:00,119.08,121.58,118.57,120.06,61464
2001.09.09,0:00,120.14,122.13,116.89,117.35,58382
2001.09.16,0:00,117.55,118.43,115.75,116.64,103769
2001.09.23,0:00,116.9,120.08,116.28,119.53,81845
2001.09.30,0:00,119.43,121.55,119.33,120.52,71756
2001.10.07,0:00,120.31,121.8,119.57,121.08,54774
2001.10.14,0:00,120.89,121.95,120.42,121.23,62299
2001.10.21,0:00,121.18,123.41,121.14,122.69,58263
2001.10.28,0:00,122.69,122.82,121.33,121.67,55165
2001.11.04,0:00,121.63,122.16,119.74,120.35,55271
2001.11.11,0:00,120.38,122.98,119.71,122.92,56043
2001.11.18,0:00,122.84,124.54,122.5,124.26,126233
2001.11.25,0:00,124.43,124.63,122.79,123.46,141592
2001.12.02,0:00,123.37,125.81,123.25,125.59,148933
2001.12.09,0:00,125.61,128.01,125.47,127.42,138429
2001.12.16,0:00,127.33,129.75,127.11,129.62,143553
2001.12.23,0:00,129.58,132.1,129.29,131.09,79115
2001.12.30,0:00,131.31,132.33,130.59,130.97,78919
2002.01.06,0:00,130.87,133.42,130.35,132.2,142969
2002.01.13,0:00,132.02,133.08,130.86,132.55,114624
2002.01.20,0:00,132.65,134.98,131.99,134.43,64608
2002.01.27,0:00,134.87,135.19,132.33,133.01,58441
2002.02.03,0:00,133.17,135.03,131.94,134.74,143839
2002.02.10,0:00,134.91,135.06,131.84,132.57,144024
2002.02.17,0:00,132.7,134.54,132.4,134.06,101507
2002.02.24,0:00,134.14,135.01,133.01,133.42,146878
2002.03.03,0:00,133.57,133.61,126.41,128.61,133822
2002.03.10,0:00,128.67,129.67,127.73,129.08,147055
2002.03.17,0:00,129.28,132.97,129.21,132.91,150133
2002.03.24,0:00,132.81,133.5,132.16,132.75,154058
2002.03.31,0:00,132.75,133.86,131.29,131.68,151468
2002.04.07,0:00,131.75,132.28,130.18,131.95,151116
2002.04.14,0:00,132.06,132.41,129.57,130.36,148642
2002.04.21,0:00,130.66,130.71,127.75,127.9,149674
2002.04.28,0:00,127.91,128.69,126.82,126.94,147947
2002.05.05,0:00,127.01,129.1,126.75,127.62,115361
2002.05.12,0:00,127.68,128.82,125.5,125.97,156712
2002.05.19,0:00,125.99,126.23,123.49,124.77,166645
2002.05.26,0:00,124.79,125.1,122.8,124.11,133060
2002.06.02,0:00,124.26,125.08,123.24,124.34,145068
2002.06.09,0:00,124.43,125.94,123.91,124.15,131791
2002.06.16,0:00,124.21,124.86,120.8,121.16,134961
2002.06.23,0:00,121.73,122.77,118.34,119.58,164780
2002.06.30,0:00,119.73,120.78,119.24,120.42,141502
2002.07.07,0:00,120.05,120.2,116.44,116.91,166226
2002.07.14,0:00,117.04,117.34,115.48,115.9,143004
2002.07.21,0:00,115.92,119.07,115.72,118.83,144864
2002.07.28,0:00,118.89,120.43,118.45,118.92,140011
2002.08.04,0:00,118.86,121.38,118.61,120.11,151337
2002.08.11,0:00,120.15,120.19,116.28,117.71,130624
2002.08.18,0:00,117.64,120.31,117.4,119.6,137424
2002.08.25,0:00,119.55,119.95,117.45,118.4,56245
2002.09.01,0:00,118.5,118.92,116.84,118.54,144264
2002.09.08,0:00,118.56,122.29,118.16,121.72,177744
2002.09.15,0:00,121.95,123.74,120.9,123.32,195982
2002.09.22,0:00,123.57,124.24,121.83,122.54,174217
2002.09.29,0:00,122.62,123.38,121.1,123.14,35583
2002.10.06,0:00,123.26,124.66,122.98,124.03,35773
2002.10.13,0:00,124.1,125.59,123.77,125.53,36329
2002.10.20,0:00,125.48,125.67,123.59,124.31,33174
2002.10.27,0:00,124.29,125.02,121.6,122.23,35955
2002.11.03,0:00,122.19,122.68,119.53,119.8,32912
2002.11.10,0:00,119.94,120.95,119.09,120.46,33490
2002.11.17,0:00,120.39,123.02,120.26,122.98,34300
2002.11.24,0:00,123.05,123.21,121.32,122.48,33449
2002.12.01,0:00,122.66,125.75,122.1,123.55,37696
2002.12.08,0:00,123.14,124.09,120.3,120.48,38622
2002.12.15,0:00,120.6,121.72,120.19,120.37,36020
2002.12.22,0:00,120.33,120.81,119.77,119.86,23802
2002.12.29,0:00,119.94,120.31,118.29,119.68,22008
2003.01.05,0:00,119.83,120.63,118.53,119.22,35241
2003.01.12,0:00,119.15,119.5,117.39,117.78,31462
2003.01.19,0:00,118.03,119.18,117.51,117.81,27568
2003.01.26,0:00,117.84,120.1,117.54,119.92,27313
2003.02.02,0:00,119.64,120.95,119.04,120.28,28346
2003.02.09,0:00,120.28,121.8,120.09,120.32,33188
2003.02.16,0:00,120.51,120.81,118.08,118.63,38785
2003.02.23,0:00,118.85,118.88,116.8,118.13,38353
2003.03.02,0:00,118.11,118.34,116.34,117.07,38974
2003.03.09,0:00,117.09,118.8,116.4,118.25,41048
2003.03.16,0:00,118.12,121.9,117.56,121.69,41584
2003.03.23,0:00,121.06,121.35,119.34,119.84,38303
2003.03.30,0:00,119.85,120.23,117.6,119.97,38090
2003.04.06,0:00,120.38,120.94,119.14,120.5,36329
2003.04.13,0:00,120.6,120.86,118.91,119.75,31728
2003.04.20,0:00,119.63,121.18,119.35,120.25,48060
2003.04.27,0:00,120.21,120.76,118.13,119.06,48836
2003.05.04,0:00,119.04,119.14,116,117.36,45980
2003.05.11,0:00,117.25,117.58,115.29,116.06,47399
2003.05.18,0:00,115.61,117.82,115.06,116.89,47541
2003.05.25,0:00,116.85,119.67,116.19,119.33,48442
2003.06.01,0:00,119.63,119.69,117.32,118.72,52663
2003.06.08,0:00,118.74,118.83,117.17,117.43,46471
2003.06.15,0:00,117.38,119.15,117.16,118.47,47830
2003.06.22,0:00,118.52,120.04,117.31,119.62,47463
2003.06.29,0:00,119.72,120.27,117.86,118.01,45431
2003.07.06,0:00,118.07,118.74,117.37,117.94,45314
2003.07.13,0:00,117.8,119.28,116.65,118.53,43574
2003.07.20,0:00,118.63,119.43,118.23,118.75,46636
2003.07.27,0:00,118.98,120.71,118.86,120.12,47394
2003.08.03,0:00,119.95,120.66,118.81,119.12,50603
2003.08.10,0:00,118.98,119.73,118.17,119.2,107308
2003.08.17,0:00,119.17,119.84,117.28,117.57,120859
2003.08.24,0:00,117.51,118.04,116.13,116.9,99609
2003.08.31,0:00,116.83,117.32,115.74,116.78,27168
2003.09.07,0:00,116.8,117.74,116.08,117.29,20314
2003.09.14,0:00,117.34,117.71,113.57,114,28409
2003.09.21,0:00,113.96,114.01,110.89,111.63,38644
2003.09.28,0:00,111.62,112.11,110.09,110.94,44728
2003.10.05,0:00,110.98,111.37,108.26,108.73,46810
2003.10.12,0:00,108.47,110.34,108.29,109.42,49919
2003.10.19,0:00,108.85,110.61,108.76,109.08,46052
2003.10.26,0:00,109.05,110.24,107.84,109.96,47472
2003.11.02,0:00,109.72,111.51,109.04,109.39,47907
2003.11.09,0:00,109.45,109.68,107.86,108.33,45769
2003.11.16,0:00,108.4,109.77,107.54,108.75,53642
2003.11.23,0:00,108.82,110.06,108.79,109.62,36984
2003.11.30,0:00,109.78,110.05,107.51,107.66,38852
2003.12.07,0:00,107.75,108.75,106.72,107.94,38467
2003.12.14,0:00,108.27,108.31,107.2,107.81,34218
2003.12.21,0:00,107.79,107.96,106.89,107.46,17221
2003.12.28,0:00,107.32,107.75,106.63,107.04,18012
