Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined
EURO FX - CHICAGO MERCANTILE EXCHANGE,060613,2006-06-13,099741,CME,00,099,202394.000000,34588.000000,110005.000000,23475.000000,20872.000000,17391.000000,3045.000000,49945.000000,7623.000000,988.000000,5875.000000,2445.000000,87.000000,138875.000000,165059.000000,63519.000000,37335.000000,,,,,,,,,,,,,,,,,,100.000000,17.100000,54.400000,11.600000,10.300000,8.600000,1.500000,24.700000,3.800000,0.500000,2.900000,1.200000,0.000000,68.600000,81.600000,31.400000,18.400000,107,13,19,15,10,6,8,31,13,7,9,6,,77,61,22.500000,40.600000,33.300000,60.600000,15.800000,40.100000,25.400000,55.100000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060620,2006-06-20,099741,CME,00,099,132604.000000,15361.000000,75088.000000,979.000000,20116.000000,14822.000000,2692.000000,37815.000000,12996.000000,228.000000,7014.000000,1479.000000,0.000000,84205.000000,108284.000000,48399.000000,24320.000000,-69790.000000,-19227.000000,-34917.000000,-22496.000000,-756.000000,-2569.000000,-353.000000,-12130.000000,5373.000000,-760.000000,1139.000000,-966.000000,-87.000000,-54670.000000,-56775.000000,-15120.000000,-13015.000000,100.000000,11.600000,56.600000,0.700000,15.200000,11.200000,2.000000,28.500000,9.800000,0.200000,5.300000,1.100000,0.000000,63.500000,81.700000,36.500000,18.300000,107,9,16,5,10,7,6,33,17,,11,4,0,73,48,19.200000,50.000000,27.800000,61.400000,19.100000,48.000000,27.700000,59.300000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060627,2006-06-27,099741,CME,00,099,148166.000000,15291.000000,86509.000000,2155.000000,19283.000000,14770.000000,2522.000000,51142.000000,11361.000000,243.000000,5954.000000,2806.000000,22.000000,96612.000000,120388.000000,51554.000000,27778.000000,15562.000000,-70.000000,11421.000000,1176.000000,-833.000000,-52.000000,-170.000000,13327.000000,-1635.000000,15.000000,-1060.000000,1327.000000,22.000000,12407.000000,12104.000000,3155.000000,3458.000000,100.000000,10.300000,58.400000,1.500000,13.000000,10.000000,1.700000,34.500000,7.700000,0.200000,4.000000,1.900000,0.000000,65.200000,81.300000,34.800000,18.700000,106,12,15,7,9,6,5,35,12,4,10,7,,73,50,24.500000,46.100000,33.500000,63.200000,24.400000,44.800000,33.400000,61.200000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060703,2006-07-03,099741,CME,00,099,162104.000000,11627.000000,98048.000000,4369.000000,19703.000000,14517.000000,2610.000000,64455.000000,11561.000000,170.000000,6002.000000,1779.000000,38.000000,108974.000000,133092.000000,53130.000000,29012.000000,13938.000000,-3664.000000,11539.000000,2214.000000,420.000000,-253.000000,88.000000,13313.000000,200.000000,-73.000000,48.000000,-1027.000000,16.000000,12362.000000,12704.000000,1576.000000,1234.000000,100.000000,7.200000,60.500000,2.700000,12.200000,9.000000,1.600000,39.800000,7.100000,0.100000,3.700000,1.100000,0.000000,67.200000,82.100000,32.800000,17.900000,116,11,21,10,10,6,6,42,12,,12,4,,80,55,23.600000,43.300000,31.200000,60.600000,23.500000,42.000000,31.000000,58.500000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060711,2006-07-11,099741,CME,00,099,168069.000000,10315.000000,109144.000000,4160.000000,19496.000000,13091.000000,3107.000000,69298.000000,10862.000000,121.000000,5852.000000,2750.000000,0.000000,112349.000000,143235.000000,55720.000000,24834.000000,5965.000000,-1312.000000,11096.000000,-209.000000,-207.000000,-1426.000000,497.000000,4843.000000,-699.000000,-49.000000,-150.000000,971.000000,-38.000000,3375.000000,10143.000000,2590.000000,-4178.000000,100.000000,6.100000,64.900000,2.500000,11.600000,7.800000,1.800000,41.200000,6.500000,0.100000,3.500000,1.600000,0.000000,66.800000,85.200000,33.200000,14.800000,117,9,25,8,11,5,6,42,13,,10,4,0,79,55,23.400000,47.600000,31.100000,64.700000,23.300000,46.400000,30.900000,61.900000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060718,2006-07-18,099741,CME,00,099,152795.000000,11730.000000,83926.000000,5142.000000,20735.000000,11973.000000,3005.000000,50192.000000,10830.000000,119.000000,6518.000000,2682.000000,0.000000,97441.000000,117677.000000,55354.000000,35118.000000,-15274.000000,1415.000000,-25218.000000,982.000000,1239.000000,-1118.000000,-102.000000,-19106.000000,-32.000000,-2.000000,666.000000,-68.000000,0.000000,-14908.000000,-25558.000000,-366.000000,10284.000000,100.000000,7.700000,54.900000,3.400000,13.600000,7.800000,2.000000,32.800000,7.100000,0.100000,4.300000,1.800000,0.000000,63.800000,77.000000,36.200000,23.000000,110,13,17,7,10,,5,37,16,,9,5,0,75,49,21.400000,42.800000,29.700000,58.100000,21.300000,41.500000,28.400000,54.200000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060725,2006-07-25,099741,CME,00,099,146454.000000,13635.000000,77956.000000,6267.000000,21684.000000,11973.000000,3153.000000,46022.000000,13658.000000,350.000000,6450.000000,3718.000000,20.000000,97581.000000,117095.000000,48873.000000,29359.000000,-6341.000000,1905.000000,-5970.000000,1125.000000,949.000000,0.000000,148.000000,-4170.000000,2828.000000,231.000000,-68.000000,1036.000000,20.000000,140.000000,-582.000000,-6481.000000,-5759.000000,100.000000,9.300000,53.200000,4.300000,14.800000,8.200000,2.200000,31.400000,9.300000,0.200000,4.400000,2.500000,0.000000,66.600000,80.000000,33.400000,20.000000,117,15,17,11,11,5,6,34,19,5,10,6,,81,59,23.500000,42.400000,31.100000,57.700000,23.000000,41.100000,29.200000,53.100000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060801,2006-08-01,099741,CME,00,099,157856.000000,10778.000000,99667.000000,4739.000000,20602.000000,11964.000000,3485.000000,59548.000000,8527.000000,264.000000,7200.000000,2404.000000,36.000000,106652.000000,131086.000000,51204.000000,26770.000000,11402.000000,-2857.000000,21711.000000,-1528.000000,-1082.000000,-9.000000,332.000000,13526.000000,-5131.000000,-86.000000,750.000000,-1314.000000,16.000000,9071.000000,13991.000000,2331.000000,-2589.000000,100.000000,6.800000,63.100000,3.000000,13.100000,7.600000,2.200000,37.700000,5.400000,0.200000,4.600000,1.500000,0.000000,67.600000,83.000000,32.400000,17.000000,125,10,22,10,10,6,7,43,17,6,13,4,,90,60,21.100000,47.100000,28.600000,62.500000,21.000000,45.900000,27.900000,59.000000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060808,2006-08-08,099741,CME,00,099,177763.000000,12788.000000,124551.000000,5188.000000,20124.000000,12104.000000,3478.000000,74394.000000,6944.000000,183.000000,8063.000000,1477.000000,0.000000,124218.000000,153925.000000,53545.000000,23838.000000,19907.000000,2010.000000,24884.000000,449.000000,-478.000000,140.000000,-7.000000,14846.000000,-1583.000000,-81.000000,863.000000,-927.000000,-36.000000,17566.000000,22839.000000,2341.000000,-2932.000000,100.000000,7.200000,70.100000,2.900000,11.300000,6.800000,2.000000,41.900000,3.900000,0.100000,4.500000,0.800000,0.000000,69.900000,86.600000,30.100000,13.400000,120,12,22,12,10,6,7,41,14,,13,,0,89,53,23.500000,52.100000,32.500000,68.500000,23.400000,51.000000,31.600000,65.200000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060815,2006-08-15,099741,CME,00,099,178761.000000,12992.000000,123008.000000,6879.000000,20271.000000,11443.000000,3450.000000,73151.000000,6576.000000,194.000000,8217.000000,1129.000000,0.000000,125154.000000,152679.000000,53607.000000,26082.000000,998.000000,204.000000,-1543.000000,1691.000000,147.000000,-661.000000,-28.000000,-1243.000000,-368.000000,11.000000,154.000000,-348.000000,0.000000,936.000000,-1246.000000,62.000000,2244.000000,100.000000,7.300000,68.800000,3.800000,11.300000,6.400000,1.900000,40.900000,3.700000,0.100000,4.600000,0.600000,0.000000,70.000000,85.400000,30.000000,14.600000,116,14,21,10,10,6,7,39,13,,12,,0,86,50,22.900000,53.100000,31.300000,68.000000,22.800000,52.100000,30.100000,64.500000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
