date_time,minute,open,high,low,close,volume
2002.12.07,21:00,326.57,336.00,322.30,330.55,7011
2002.12.14,21:00,333.15,354.72,331.90,340.75,10693
2002.12.21,21:00,340.76,351.51,340.45,349.25,5549
2002.12.28,21:00,349.17,353.50,341.10,351.25,7135
2003.01.04,21:00,349.85,357.75,344.45,354.75,13924
2003.01.11,21:00,354.75,359.20,345.51,356.55,12530
2003.01.18,21:00,356.55,370.50,353.05,368.35,10417
2003.01.25,21:00,373.97,374.22,362.40,368.15,12584
2003.02.01,21:00,368.15,388.75,366.75,369.75,14699
2003.02.08,21:00,370.00,373.36,346.75,351.55,14859
2003.02.15,21:00,351.00,355.05,341.00,351.90,12305
2003.02.22,21:00,351.75,360.65,344.75,349.95,13194
2003.03.01,21:00,349.50,358.60,344.70,350.75,13161
2003.03.08,21:00,352.22,355.50,331.45,336.35,9998
2003.03.15,21:00,339.95,345.65,325.49,326.05,10092
2003.03.22,21:00,328.13,334.70,325.88,332.45,9520
2003.03.29,21:00,332.61,339.15,321.88,325.38,10311
2003.04.05,21:00,321.72,329.55,318.88,328.05,10633
2003.04.12,21:00,326.13,328.50,321.88,327.00,6699
2003.04.19,21:00,327.13,336.66,326.30,333.25,10107
2003.04.26,21:00,333.34,344.00,327.13,340.95,10912
2003.05.03,21:00,341.72,349.95,339.15,348.55,10220
2003.05.10,21:00,348.80,357.50,348.05,354.75,10654
2003.05.17,21:00,357.00,373.65,356.40,368.75,11734
2003.05.24,21:00,368.00,375.02,358.30,364.85,9158
2003.05.31,21:00,363.25,370.30,359.36,363.85,11546
2003.06.07,21:00,362.75,367.45,350.70,356.75,11605
2003.06.14,21:00,356.75,365.28,355.10,356.25,8219
2003.06.21,21:00,357.25,358.86,342.40,345.22,11373
2003.06.28,21:00,345.11,353.85,343.80,350.60,6625
2003.07.05,21:00,350.63,352.08,342.07,344.80,17244
2003.07.12,21:00,345.00,349.77,340.10,347.15,16525
2003.07.19,21:00,347.50,364.92,346.70,362.75,11845
2003.07.26,21:00,362.75,368.00,344.95,346.35,11494
2003.08.02,21:00,347.60,358.25,345.48,356.75,10709
2003.08.09,21:00,356.34,367.80,350.77,363.50,10239
2003.08.16,21:00,363.61,367.15,355.95,362.95,11601
2003.08.23,21:00,362.55,378.00,358.90,375.55,13901
2003.08.30,21:00,375.00,379.55,369.55,377.35,5414
2003.09.06,21:00,377.00,384.10,373.25,375.30,12299
2003.09.13,21:00,375.50,383.80,371.35,381.80,11459
2003.09.20,21:00,381.25,394.00,378.80,380.82,12952
2003.09.27,21:00,381.50,388.80,366.00,369.55,12639
2003.10.04,21:00,369.80,378.70,367.70,373.65,11483
2003.10.11,21:00,373.10,377.10,366.20,371.55,12687
2003.10.18,21:00,371.30,392.70,369.25,388.80,14865
2003.10.25,21:00,387.60,391.95,379.40,384.50,14236
2003.11.01,21:00,384.60,385.60,375.65,383.30,13889
2003.11.08,21:00,382.80,399.40,381.85,397.48,20074
2003.11.15,21:00,396.70,401.01,385.55,395.82,23448
2003.11.22,21:00,395.82,401.10,389.23,398.05,15912
2003.11.29,21:00,397.50,407.15,396.55,406.10,19093
2003.12.06,21:00,406.30,412.25,402.74,409.05,2244
2003.12.13,21:00,403.20,412.90,401.05,409.10,2492
2003.12.20,21:00,409.35,414.30,407.80,413.30,941
2003.12.27,21:00,413.55,417.90,411.70,415.30,1161
2004.01.03,21:00,415.55,430.70,415.30,426.55,2908
2004.01.10,21:00,426.75,429.10,405.20,406.60,3493
2004.01.17,21:00,406.65,413.50,405.10,407.70,2161
2004.01.24,21:00,407.70,415.30,396.30,402.40,2614
2004.01.31,21:00,402.30,409.00,394.10,403.35,2496
2004.02.07,21:00,403.48,417.50,402.25,410.03,4465
2004.02.14,21:00,410.03,417.12,393.70,397.40,4661
2004.02.21,21:00,399.35,405.30,390.60,396.24,4021
2004.02.28,21:00,396.25,403.31,387.90,401.35,5101
2004.03.06,21:00,401.34,406.40,394.70,395.35,4615
2004.03.13,21:00,395.37,413.40,395.06,412.41,3273
2004.03.20,21:00,412.38,424.00,411.06,421.95,4201
2004.03.27,21:00,422.08,432.60,416.16,421.39,4487
2004.04.03,21:00,421.48,424.20,413.20,421.26,4089
2004.04.10,21:00,421.07,422.32,395.37,400.82,7037
2004.04.17,21:00,400.37,405.50,389.56,395.19,4955
2004.04.24,21:00,393.99,399.27,377.38,387.59,4026
2004.05.01,21:00,387.59,395.19,377.40,378.99,5948
2004.05.08,21:00,379.02,384.70,371.45,377.06,6212
2004.05.15,21:00,376.82,387.58,375.04,384.97,5883
2004.05.22,21:00,384.97,396.98,383.25,394.07,4679
2004.05.29,21:00,394.05,399.18,384.37,391.03,5148
2004.06.05,21:00,390.60,395.31,383.05,384.60,1791
2004.06.12,21:00,384.80,396.55,381.35,394.80,10259
2004.06.19,21:00,394.60,403.55,392.35,401.60,9325
2004.06.26,21:00,402.50,405.35,390.55,398.55,10316
2004.07.03,21:00,398.13,409.47,388.41,407.48,31347
2004.07.10,21:00,407.49,408.98,400.73,406.40,25182
2004.07.17,21:00,406.14,408.38,387.00,390.28,33825
2004.07.24,21:00,390.43,393.95,385.18,391.33,30532
2004.07.31,21:00,391.27,400.40,388.73,399.55,20997
2004.08.07,21:00,394.65,401.32,392.40,398.97,4243
2004.08.14,21:00,398.97,414.44,398.29,413.12,10686
2004.08.21,21:00,413.08,413.43,400.72,403.20,5629
2004.08.28,21:00,403.23,411.42,398.98,400.51,4868
2004.09.04,21:00,400.51,403.46,394.87,402.00,4136
2004.09.11,21:00,402.01,407.43,398.95,405.91,5134
2004.09.18,21:00,405.91,412.48,403.43,408.05,4984
2004.09.25,21:00,408.08,420.08,407.20,419.49,4444
2004.10.02,21:00,419.30,423.95,411.55,422.80,885
2004.10.09,21:00,422.60,423.55,409.55,418.80,914
2004.10.16,21:00,418.60,426.55,414.55,424.20,1061
2004.10.23,21:00,424.35,430.55,420.30,428.60,3478
2004.10.30,21:00,429.10,434.35,417.05,433.60,6318
2004.11.06,21:00,433.60,439.25,430.95,437.80,5883
2004.11.13,21:00,438.30,448.55,435.05,447.10,8466
2004.11.20,21:00,446.55,455.55,445.75,452.25,3817
2004.11.27,21:00,452.50,457.05,446.85,455.80,6915
2004.12.04,21:00,455.30,456.55,431.51,434.32,35375
2004.12.11,21:00,434.23,447.58,433.91,441.50,39227
2004.12.18,21:00,441.52,444.48,438.65,442.59,22220
2004.12.25,21:00,442.59,445.77,433.33,438.32,20711
2005.01.01,21:00,438.45,438.71,416.57,419.02,39285
2005.01.08,21:00,419.02,428.09,418.65,423.10,29056
2005.01.15,21:00,423.11,428.69,419.90,427.23,23782
2005.01.22,21:00,427.21,461.35,420.91,427.05,27354
2005.01.29,21:00,426.46,426.75,413.78,414.70,27807
2005.02.05,21:00,414.78,422.35,410.25,420.91,25729
2005.02.12,21:00,420.91,428.88,420.48,427.20,23773
2005.02.19,21:00,427.18,437.10,422.96,434.82,20791
2005.02.26,21:00,435.25,438.43,428.58,434.20,30102
2005.03.05,21:00,434.08,447.50,434.08,445.85,16588
2005.03.12,21:00,446.06,446.38,435.61,439.33,26746
2005.03.19,21:00,439.31,439.61,424.16,425.47,23270
2005.03.26,21:00,425.48,429.30,423.28,426.08,20717
2005.04.02,21:00,426.25,428.77,422.28,427.05,23946
2005.04.09,21:00,427.05,430.75,421.83,424.80,24615
2005.04.16,21:00,424.84,438.45,423.02,434.61,28269
2005.04.23,21:00,434.66,437.94,430.35,434.95,26915
2005.04.30,21:00,434.96,435.87,423.79,426.23,26886
2005.05.07,21:00,426.20,429.07,418.70,420.20,25980
2005.05.14,21:00,420.25,423.50,416.40,417.65,23647
2005.05.21,21:00,417.70,420.74,416.06,420.43,20205
2005.05.28,21:00,420.45,425.20,414.15,422.43,21014
2005.06.04,21:00,422.55,428.90,420.90,427.00,22089
2005.06.11,21:00,427.00,439.70,424.00,437.65,17617
2005.06.18,21:00,437.70,444.00,433.80,439.85,14425
2005.06.25,21:00,439.80,440.70,426.60,427.55,14758
