date_time,minute,open,high,low,close,volume
2000.11.26,22:00,506.00,509.50,495.50,508.00,2601
2000.12.03,22:00,504.50,512.50,498.25,511.50,2151
2000.12.10,22:00,509.00,513.00,503.50,507.25,1726
2000.12.17,22:00,512.00,514.00,505.50,510.25,1526
2000.12.24,22:00,510.00,510.75,496.00,499.50,1901
2000.12.31,22:00,500.00,500.00,487.50,489.50,1451
2001.01.07,22:00,488.50,495.75,476.00,479.25,3026
2001.01.14,22:00,481.00,483.50,470.25,470.75,1626
2001.01.21,22:00,471.00,477.75,459.00,460.25,2676
2001.01.28,22:00,458.50,469.00,456.25,468.50,1551
2001.02.04,22:00,469.00,469.50,452.00,456.25,2226
2001.02.11,22:00,456.00,458.75,449.50,454.00,1651
2001.02.18,22:00,458.00,463.00,447.00,448.00,2201
2001.02.25,22:00,449.50,462.00,447.00,455.75,2376
2001.03.04,22:00,456.50,464.00,454.00,456.75,1976
2001.03.11,22:00,453.00,460.75,438.00,443.00,3551
2001.03.18,22:00,445.00,449.50,433.50,436.50,2351
2001.03.25,22:00,439.50,445.50,428.00,428.50,2401
2001.04.01,22:00,432.00,439.50,428.00,436.00,1901
2001.04.08,22:00,438.00,444.00,431.25,435.25,2276
2001.04.15,22:00,436.00,436.25,427.50,429.25,1076
2001.04.22,22:00,429.50,430.00,421.50,422.75,1026
2001.04.29,22:00,424.50,447.00,421.50,444.50,3101
2001.05.06,22:00,443.50,453.50,439.25,450.00,2201
2001.05.13,22:00,450.00,464.00,441.00,449.50,4551
2001.05.20,22:00,446.50,453.50,442.25,447.25,2176
2001.05.27,22:00,448.00,460.50,436.00,455.00,4201
2001.06.03,22:00,454.00,468.50,448.75,466.50,2701
2001.06.10,22:00,468.50,475.75,457.00,458.50,2751
2001.06.17,22:00,462.00,472.50,454.00,454.50,2951
2001.06.24,22:00,453.50,488.00,450.00,482.50,4701
2001.07.01,22:00,481.50,500.25,480.00,495.00,2701
2001.07.08,22:00,494.50,528.00,494.50,522.00,3951
2001.07.15,22:00,519.00,538.00,494.00,496.00,6501
2001.07.22,22:00,497.50,520.00,494.00,515.50,3401
2001.07.29,22:00,511.00,515.50,486.00,492.00,4001
2001.08.05,22:00,493.00,525.00,490.50,519.00,4301
2001.08.12,22:00,519.00,525.00,498.00,504.25,3926
2001.08.19,22:00,491.00,494.00,473.00,478.25,2926
2001.08.26,22:00,476.00,485.25,471.00,479.50,2501
2001.09.02,22:00,476.00,480.00,463.50,463.75,2076
2001.09.09,22:00,465.50,481.00,461.00,471.50,3401
2001.09.16,22:00,471.00,483.50,463.75,469.75,3826
2001.09.23,22:00,471.50,473.50,450.50,451.25,2576
2001.09.30,22:00,451.00,456.25,448.25,452.25,1476
2001.10.07,22:00,453.50,458.00,433.00,435.50,3201
2001.10.14,22:00,435.00,436.75,424.00,424.75,1526
2001.10.21,22:00,424.00,430.00,420.50,426.50,1651
2001.10.28,22:00,425.50,436.25,425.50,433.50,1351
2001.11.04,22:00,432.00,444.00,431.50,441.75,1526
