date_time,minute,open,high,low,close,volume
2000.11.12,00:00,1.54270,1.56320,1.54100,1.55850,709
2000.11.19,00:00,1.55630,1.56150,1.53600,1.53920,736
2000.11.26,00:00,1.53830,1.54840,1.52800,1.54680,1066
2000.12.03,00:00,1.54580,1.55500,1.51260,1.51650,1125
2000.12.10,00:00,1.51850,1.53030,1.51210,1.52100,838
2000.12.17,00:00,1.52020,1.52890,1.51420,1.51750,794
2000.12.24,00:00,1.51650,1.52000,1.49400,1.50000,759
2000.12.31,00:00,1.49800,1.50550,1.48960,1.49950,743
2001.01.07,00:00,1.49820,1.50380,1.49190,1.50100,664
2001.01.14,00:00,1.50000,1.51800,1.49830,1.51180,760
2001.01.21,00:00,1.51090,1.51700,1.50000,1.50580,776
2001.01.28,00:00,1.50580,1.50680,1.48940,1.49750,710
2001.02.04,00:00,1.49620,1.51530,1.49570,1.51180,637
2001.02.11,00:00,1.51080,1.54200,1.50980,1.54030,694
2001.02.18,00:00,1.53860,1.54400,1.53250,1.53750,632
2001.02.25,00:00,1.53660,1.55020,1.52440,1.54530,828
2001.03.04,00:00,1.54380,1.55270,1.53640,1.54800,711
2001.03.11,00:00,1.54590,1.57000,1.54120,1.56900,765
2001.03.18,00:00,1.56800,1.57780,1.55780,1.56490,770
2001.03.25,00:00,1.56410,1.58000,1.55280,1.57610,1002
2001.04.01,00:00,1.57650,1.58300,1.56000,1.56530,973
2001.04.08,00:00,1.56400,1.56650,1.55350,1.56180,588
2001.04.15,00:00,1.56250,1.57480,1.54180,1.54400,961
2001.04.22,00:00,1.54480,1.55300,1.53890,1.54310,818
2001.04.29,00:00,1.54230,1.54480,1.52660,1.53580,671
2001.05.06,00:00,1.53550,1.55250,1.53190,1.55160,760
2001.05.13,00:00,1.55000,1.55680,1.53110,1.53370,751
2001.05.20,00:00,1.53240,1.55440,1.53090,1.54610,752
2001.05.27,00:00,1.54550,1.55170,1.52900,1.53690,1005
2001.06.03,00:00,1.53510,1.53930,1.51670,1.51910,704
2001.06.10,00:00,1.51880,1.53030,1.51350,1.52470,822
2001.06.17,00:00,1.52350,1.53840,1.52140,1.52310,803
2001.06.24,00:00,1.52240,1.52600,1.50980,1.51610,877
2001.07.01,00:00,1.51390,1.52380,1.50650,1.52320,622
2001.07.08,00:00,1.52300,1.54190,1.51660,1.53700,748
2001.07.15,00:00,1.53630,1.54800,1.53180,1.54380,748
2001.07.22,00:00,1.54230,1.54760,1.52880,1.53180,651
2001.07.29,00:00,1.53190,1.54240,1.52460,1.52890,559
2001.08.05,00:00,1.52900,1.54440,1.52260,1.53920,27514
2001.08.12,00:00,1.53930,1.54510,1.52450,1.54270,25846
2001.08.19,00:00,1.54290,1.55110,1.53660,1.53930,25799
2001.08.26,00:00,1.53900,1.55240,1.53720,1.55120,21523
2001.09.02,00:00,1.54960,1.56910,1.54530,1.56560,19800
2001.09.09,00:00,1.56580,1.57310,1.55590,1.56420,17974
2001.09.16,00:00,1.56430,1.57470,1.56170,1.57140,26497
2001.09.23,00:00,1.57110,1.58180,1.56540,1.57910,20135
2001.09.30,00:00,1.57890,1.58030,1.56030,1.56200,18445
2001.10.07,00:00,1.56290,1.57080,1.55720,1.56290,18843
2001.10.14,00:00,1.56230,1.58060,1.55510,1.57440,19571
2001.10.21,00:00,1.57550,1.58110,1.56930,1.57640,19605
2001.10.28,00:00,1.57630,1.59770,1.57250,1.59070,19121
2001.11.04,00:00,1.59110,1.60580,1.58850,1.60330,17319
2001.11.11,00:00,1.60280,1.60540,1.58520,1.58990,17642
2001.11.18,00:00,1.58880,1.60320,1.58200,1.59780,38028
2001.11.25,00:00,1.59930,1.60250,1.56980,1.57300,47569
2001.12.02,00:00,1.57300,1.57860,1.56890,1.57550,43195
2001.12.09,00:00,1.57530,1.58020,1.55790,1.56080,33571
2001.12.16,00:00,1.55890,1.58700,1.55790,1.58600,35868
2001.12.23,00:00,1.58560,1.60600,1.58430,1.59110,21824
2001.12.30,00:00,1.58990,1.60010,1.58780,1.59570,22216
2002.01.06,00:00,1.59490,1.60540,1.59250,1.59640,38214
2002.01.13,00:00,1.59600,1.61730,1.58610,1.61460,37887
2002.01.20,00:00,1.61830,1.61960,1.59870,1.60970,23627
2002.01.27,00:00,1.61190,1.61420,1.58210,1.59060,22107
2002.02.03,00:00,1.58980,1.60950,1.58900,1.59860,32404
2002.02.10,00:00,1.59810,1.59970,1.58640,1.58950,28592
2002.02.17,00:00,1.59010,1.59860,1.58500,1.59710,27338
2002.02.24,00:00,1.59670,1.61300,1.59060,1.59300,43305
2002.03.03,00:00,1.59280,1.59430,1.57660,1.58680,32321
2002.03.10,00:00,1.58570,1.59860,1.58070,1.58400,34617
2002.03.17,00:00,1.58350,1.58870,1.57350,1.57730,39383
2002.03.24,00:00,1.57700,1.59830,1.57650,1.59570,39330
2002.03.31,00:00,1.59400,1.60300,1.58680,1.58990,41459
2002.04.07,00:00,1.58900,1.59940,1.58460,1.58520,42921
2002.04.14,00:00,1.58550,1.59230,1.56990,1.57220,46259
2002.04.21,00:00,1.57170,1.57650,1.56020,1.56220,39637
2002.04.28,00:00,1.56170,1.57120,1.55590,1.56330,44862
2002.05.05,00:00,1.56330,1.57290,1.55520,1.55830,36397
2002.05.12,00:00,1.55730,1.56340,1.54100,1.54640,52244
2002.05.19,00:00,1.54650,1.54700,1.53060,1.53280,48814
2002.05.26,00:00,1.53300,1.53880,1.52520,1.52810,41784
2002.06.02,00:00,1.53680,1.53920,1.52390,1.53240,48738
2002.06.09,00:00,1.53260,1.55290,1.53170,1.54680,41275
2002.06.16,00:00,1.54630,1.55210,1.51720,1.52040,47117
2002.06.23,00:00,1.52100,1.52490,1.50240,1.51880,55047
2002.06.30,00:00,1.51760,1.53500,1.51330,1.52300,45029
2002.07.07,00:00,1.52400,1.53460,1.51050,1.53370,50215
2002.07.14,00:00,1.53250,1.54630,1.52960,1.54330,52006
2002.07.21,00:00,1.54300,1.59670,1.53960,1.58650,75176
2002.07.28,00:00,1.58510,1.59280,1.56590,1.58480,59763
2002.08.04,00:00,1.58540,1.60540,1.56970,1.57280,63826
2002.08.11,00:00,1.57200,1.57740,1.55540,1.55910,54500
2002.08.18,00:00,1.55960,1.57520,1.55090,1.55630,62298
2002.08.25,00:00,1.55640,1.56510,1.54900,1.55920,21554
2002.09.01,00:00,1.55770,1.57460,1.55000,1.55920,54701
2002.09.08,00:00,1.55920,1.58850,1.55830,1.57990,58808
2002.09.15,00:00,1.57990,1.58720,1.56950,1.57330,57365
2002.09.22,00:00,1.57350,1.59180,1.57140,1.57880,58672
2002.09.29,00:00,1.57830,1.59550,1.57500,1.59190,16684
2002.10.06,00:00,1.59210,1.59950,1.58500,1.58670,19351
2002.10.13,00:00,1.58690,1.58990,1.56820,1.57360,16535
2002.10.20,00:00,1.57420,1.57550,1.55970,1.56750,16399
2002.10.27,00:00,1.56710,1.57110,1.55410,1.55830,18655
2002.11.03,00:00,1.55720,1.56710,1.55050,1.56520,18058
2002.11.10,00:00,1.56450,1.58510,1.56290,1.58440,18188
2002.11.17,00:00,1.58310,1.59190,1.57640,1.57770,17334
2002.11.24,00:00,1.57740,1.57880,1.56290,1.56500,16328
2002.12.01,00:00,1.56330,1.56960,1.55370,1.56480,17519
2002.12.08,00:00,1.56440,1.56520,1.55160,1.56140,17532
2002.12.15,00:00,1.56150,1.56450,1.54510,1.55090,18506
2002.12.22,00:00,1.55090,1.57210,1.54620,1.56840,13029
2002.12.29,00:00,1.56710,1.58050,1.56300,1.56360,14215
2003.01.05,00:00,1.56440,1.56600,1.54430,1.54580,18401
2003.01.12,00:00,1.54630,1.54670,1.52950,1.53490,19323
2003.01.19,00:00,1.53540,1.53840,1.51800,1.51870,10569
2003.01.26,00:00,1.51850,1.53660,1.51730,1.51980,12694
2003.02.02,00:00,1.52020,1.52690,1.51280,1.52060,11427
2003.02.09,00:00,1.52160,1.53340,1.51330,1.52250,16959
2003.02.16,00:00,1.52320,1.52590,1.50300,1.50420,16864
2003.02.23,00:00,1.50400,1.50450,1.48260,1.48340,20089
2003.03.02,00:00,1.48340,1.48870,1.46040,1.46530,23399
2003.03.09,00:00,1.46650,1.49020,1.45820,1.47310,21938
2003.03.16,00:00,1.47330,1.49510,1.46620,1.49330,23067
2003.03.23,00:00,1.48820,1.49260,1.46120,1.47220,23139
2003.03.30,00:00,1.47180,1.48070,1.46380,1.47180,22416
2003.04.06,00:00,1.47530,1.49460,1.44910,1.45310,24518
2003.04.13,00:00,1.45240,1.45950,1.44570,1.45060,18521
2003.04.20,00:00,1.44990,1.46720,1.44270,1.44660,22454
2003.04.27,00:00,1.44650,1.45490,1.41560,1.41880,24091
2003.05.04,00:00,1.41860,1.42220,1.38140,1.39350,24111
2003.05.11,00:00,1.39100,1.39480,1.36210,1.36620,21649
2003.05.18,00:00,1.35590,1.38320,1.34040,1.37460,30738
2003.05.25,00:00,1.37990,1.39270,1.36210,1.36680,26732
2003.06.01,00:00,1.37220,1.37900,1.33840,1.35430,29439
2003.06.08,00:00,1.35960,1.36830,1.33340,1.33380,24092
2003.06.15,00:00,1.33400,1.36360,1.33050,1.35990,26822
2003.06.22,00:00,1.35920,1.36730,1.33850,1.34700,26812
2003.06.29,00:00,1.34680,1.36250,1.33340,1.34030,23336
2003.07.06,00:00,1.34030,1.38880,1.33720,1.37670,28619
2003.07.13,00:00,1.37650,1.41400,1.37100,1.40670,25061
2003.07.20,00:00,1.40780,1.41950,1.37800,1.38070,28773
2003.07.27,00:00,1.38110,1.41100,1.37730,1.39860,27992
2003.08.03,00:00,1.39840,1.41180,1.38950,1.39180,27548
2003.08.10,00:00,1.39120,1.40010,1.37580,1.38700,49009
2003.08.17,00:00,1.38680,1.41710,1.38450,1.40090,53133
2003.08.24,00:00,1.40150,1.40860,1.38410,1.38700,45078
2003.08.31,00:00,1.38570,1.39800,1.36520,1.36850,18405
2003.09.07,00:00,1.36840,1.37760,1.36090,1.36530,14065
2003.09.14,00:00,1.36420,1.37460,1.34620,1.34850,11774
2003.09.21,00:00,1.34280,1.35900,1.33650,1.35330,18830
2003.09.28,00:00,1.35390,1.36420,1.33690,1.34400,19600
2003.10.05,00:00,1.34510,1.34850,1.31850,1.32110,18152
2003.10.12,00:00,1.32010,1.33150,1.31110,1.31580,17512
2003.10.19,00:00,1.31440,1.32560,1.30160,1.30750,15836
2003.10.26,00:00,1.30680,1.32300,1.30520,1.31970,16728
2003.11.02,00:00,1.32010,1.34410,1.31980,1.32220,19184
2003.11.09,00:00,1.32380,1.32490,1.29510,1.30260,18274
